id;tissue;protein;conditions;replicate;path
BR.DAM.mf_edge.1;BR;DAM;mf_edge;1;/home/anton/backup/tpoutput/HMM/1540_Fly_Dam_5_CAGATC_L006_R1_edge_local_GATCcounts.RData
BR.DAM.mf_inner.1;BR;DAM;mf_inner;1;/home/anton/backup/tpoutput/HMM/1540_Fly_Dam_5_CAGATC_L006_R1_inner_local_GATCcounts.RData
BR.LAM.mf_edge.1;BR;LAM;mf_edge;1;/home/anton/backup/tpoutput/HMM/1540_Fly_LMNB_6_CTTGTA_L006_R1_edge_local_GATCcounts.RData
BR.LAM.mf_inner.1;BR;LAM;mf_inner;1;/home/anton/backup/tpoutput/HMM/1540_Fly_LMNB_6_CTTGTA_L006_R1_inner_local_GATCcounts.RData
Kc.DAM.wt_edge.1;Kc;DAM;wt_edge;1;/home/anton/backup/tpoutput/HMM/1540_KC_Dam_3_ACAGTG_L005_R1_edge_local_GATCcounts.RData
Kc.DAM.wt_inner.1;Kc;DAM;wt_inner;1;/home/anton/backup/tpoutput/HMM/1540_KC_Dam_3_ACAGTG_L005_R1_inner_local_GATCcounts.RData
Kc.HP1.wt_edge.1;Kc;HP1;wt_edge;1;/home/anton/backup/tpoutput/HMM/1540_Kc_HP1_4_GCCAAT_L005_R1_edge_local_GATCcounts.RData
Kc.HP1.wt_inner.1;Kc;HP1;wt_inner;1;/home/anton/backup/tpoutput/HMM/1540_Kc_HP1_4_GCCAAT_L005_R1_inner_local_GATCcounts.RData
BR.DAM.m_pseudoSuUR_edge.1;BR;DAM;m_pseudoSuUR_edge;1;/home/anton/backup/tpoutput/HMM/1731_BR-M-DAM-SuUR_-_-M-1_5_ACAGTGA_L007_R1_001_edge_local_GATCcounts.RData
BR.DAM.m_pseudoSuUR_inner.1;BR;DAM;m_pseudoSuUR_inner;1;/home/anton/backup/tpoutput/HMM/1731_BR-M-DAM-SuUR_-_-M-1_5_ACAGTGA_L007_R1_001_inner_local_GATCcounts.RData
BR.LAM.m_pseudoSuUR_edge.1;BR;LAM;m_pseudoSuUR_edge;1;/home/anton/backup/tpoutput/HMM/1731_BR-M-LAM-SuUR_-_-M-1_6_GCCAATA_L007_R1_001_edge_local_GATCcounts.RData
BR.LAM.m_pseudoSuUR_inner.1;BR;LAM;m_pseudoSuUR_inner;1;/home/anton/backup/tpoutput/HMM/1731_BR-M-LAM-SuUR_-_-M-1_6_GCCAATA_L007_R1_001_inner_local_GATCcounts.RData
TST.DAM.wt_edge.1;TST;DAM;wt_edge;1;/home/anton/backup/tpoutput/HMM/1_CGATGT_L002_R1_001_edge_local_GATCcounts.RData
TST.DAM.wt_inner.1;TST;DAM;wt_inner;1;/home/anton/backup/tpoutput/HMM/1_CGATGT_L002_R1_001_inner_local_GATCcounts.RData
TST.DAM.wt_edge.2;TST;DAM;wt_edge;2;/home/anton/backup/tpoutput/HMM/2_TGACCA_L002_R1_001_edge_local_GATCcounts.RData
TST.DAM.wt_inner.2;TST;DAM;wt_inner;2;/home/anton/backup/tpoutput/HMM/2_TGACCA_L002_R1_001_inner_local_GATCcounts.RData
TST.LAM.wt_edge.1;TST;LAM;wt_edge;1;/home/anton/backup/tpoutput/HMM/3_ACAGTG_L002_R1_001_edge_local_GATCcounts.RData
TST.LAM.wt_inner.1;TST;LAM;wt_inner;1;/home/anton/backup/tpoutput/HMM/3_ACAGTG_L002_R1_001_inner_local_GATCcounts.RData
TST.LAM.wt_edge.2;TST;LAM;wt_edge;2;/home/anton/backup/tpoutput/HMM/4_GCCAAT_L002_R1_001_edge_local_GATCcounts.RData
TST.LAM.wt_inner.2;TST;LAM;wt_inner;2;/home/anton/backup/tpoutput/HMM/4_GCCAAT_L002_R1_001_inner_local_GATCcounts.RData
