id	tissue	protein	conditions	replicate	path	comment
SG.DAM.F.hsp.R1.1	SG	DAM	F.hsp.R1	1	/home/anton/Doc/Documents/SequenceData/Output/R12/DAM-1.FCC4JPEACXX_L6_R1_IAAGGGA_local_GATCcounts.RData	
SG.DAM.F.hsp.R1.2	SG	DAM	F.hsp.R1	2	/home/anton/Doc/Documents/SequenceData/Output/R12/DAM-1.FCC4JPEACXX_L6_R2_IAAGGGA_local_GATCcounts.RData	
SG.DAM.F.hsp.R2.1	SG	DAM	F.hsp.R2	1	/home/anton/Doc/Documents/SequenceData/Output/R12/DAM-2.FCC4JPEACXX_L6_R1_ICCTTCA_local_GATCcounts.RData	
SG.DAM.F.hsp.R2.2	SG	DAM	F.hsp.R2	2	/home/anton/Doc/Documents/SequenceData/Output/R12/DAM-2.FCC4JPEACXX_L6_R2_ICCTTCA_local_GATCcounts.RData	
SG.LAM.F.hsp.R1.1	SG	LAM	F.hsp.R1	1	/home/anton/Doc/Documents/SequenceData/Output/R12/LAM-1.FCC4JPEACXX_L6_R1_IGGACCC_local_GATCcounts.RData	
SG.LAM.F.hsp.R1.2	SG	LAM	F.hsp.R1	2	/home/anton/Doc/Documents/SequenceData/Output/R12/LAM-1.FCC4JPEACXX_L6_R2_IGGACCC_local_GATCcounts.RData	
SG.LAM.F.hsp.R2.1	SG	LAM	F.hsp.R2	1	/home/anton/Doc/Documents/SequenceData/Output/R12/LAM-2.FCC4JPEACXX_L6_R1_ITTCAGC_local_GATCcounts.RData	
SG.LAM.F.hsp.R2.2	SG	LAM	F.hsp.R2	2	/home/anton/Doc/Documents/SequenceData/Output/R12/LAM-2.FCC4JPEACXX_L6_R2_ITTCAGC_local_GATCcounts.RData	
BR.DAM.Repo-min.1	BR	DAM	repo.min	1	/home/anton/ControlsData/1937_1_BR-repo-min-DAM-1a_CGATGTA_L002_R1_001_local_GATCcounts.RData	
BR.LAM.Repo-min.1	BR	LAM	repo.min	1	/home/anton/ControlsData/1937_3_BR-repo-min-LAM-1a_ACAGTGA_L002_R1_001_local_GATCcounts.RData	
BR.DAM.Repo-min.2	BR	DAM	repo.min	2	/home/anton/ControlsData/2325_1_BR-repo-min-DAM-2a_CGATGTA_L006_R1_001_local_GATCcounts.RData	
BR.PC.Repo-min.1	BR	PC	repo.min	1	/home/anton/ControlsData/2325_2_BR-repo-min-PC-1a_TGACCAA_L006_R1_001_local_GATCcounts.RData	
BR.HP1.Repo-min.1	BR	HP1	repo.min	1	/home/anton/ControlsData/2325_3_BR-repo-min-HP1-1a_ACAGTGA_L006_R1_001_local_GATCcounts.RData	
BR.LAM.Repo-min.2	BR	LAM	repo.min	2	/home/anton/ControlsData/2325_4_BR-repo-min-LAM-2a_GCCAATA_L007_R1_001_local_GATCcounts.RData	
BR.PC.Repo-min.2	BR	PC	repo.min	2	/home/anton/ControlsData/2325_5_BR-repo-min-PC-2a_CAGATCA_L007_R1_001_local_GATCcounts.RData	
BR.HP1.Repo-min.2	BR	HP1	repo.min	2	/home/anton/ControlsData/2325_6_BR-repo-min-HP1-2a_CTTGTAA_L007_R1_001_local_GATCcounts.RData	
BR.DAM.elav.min.1	BR	DAM	elav.min	1	/home/anton/LudoData/2830_1_BR-elav-min-DAM-1__A_CGATGTA_L002_R1_001_local_GATCcounts.RData	
BR.LAM.elav.min.1	BR	LAM	elav.min	1	/home/anton/LudoData/2830_2_BR-elav-min-LAM-1__A_TGACCAA_L002_R1_001_local_GATCcounts.RData	
BR.HP1.elav.min.1	BR	HP1	elav.min	1	/home/anton/LudoData/2830_3_BR-elav-min-HP1-1__A_GCCAATA_L002_R1_001_local_GATCcounts.RData	
BR.PC.elav.min.1	BR	PC	elav.min	1	/home/anton/LudoData/2830_4_BR-elav-min-PC-1__A_CTTGTAA_L002_R1_001_local_GATCcounts.RData	
BR.DAM.elav.min.2	BR	DAM	elav.min	2	/home/anton/LudoData/2830_5_BR-elav-min-DAM-2__B_CGATGTA_L003_R1_001_local_GATCcounts.RData	
BR.LAM.elav.min.2	BR	LAM	elav.min	2	/home/anton/LudoData/2830_6_BR-elav-min-LAM-2__B_TGACCAA_L003_R1_001_local_GATCcounts.RData	
BR.HP1.elav.min.2	BR	HP1	elav.min	2	/home/anton/LudoData/2830_7_BR-elav-min-HP1-2__B_GCCAATA_L003_R1_001_local_GATCcounts.RData	
BR.PC.elav.min.2	BR	PC	elav.min	2	/home/anton/LudoData/2830_8_BR-elav-min-PC-2__B_CTTGTAA_L003_R1_001_local_GATCcounts.RData	
